word	syllables
грязь	грязь
флигель	фли гель
пристройка	при строй ка
обусловливать	об ус лов ли вать
председатель	пред се да тель
дурдом	дур дом
радость	ра дость
горе	го ре
свинка	свин ка
труба	тру ба
заболевание	за бо ле ва ни е
воспаление	вос па ле ни е
железа	же ле за
трубач	тру бач
скорбный	скорб ный
красавец	кра са вец
уродство	у род ство
свойство	свой ство
скрипеть	скри петь
красавица	кра са ви ца
весёлый	ве сё лый
свадьба	свадь ба
пожилой	по жи лой
девушка	де вуш ка
укроп	ук роп
петрушка	пет руш ка
щавель	ща вель
крапива	кра пи ва
анамнез	а нам нез
диагноз	ди аг ноз
диагностика	ди аг но сти ка
спасение	спа се ни е
триединство	три е дин ство
извинить	из ви нить
бич	бич
глубокий	глу бо кий
херес	хе рес
мелкий	мел кий
потолок	по то лок
приток	при ток
сто	сто
прилив	при лив
залив	за лив
бухта	бух та
мыс	мыс
перемещение	пе ре ме ще ни е
изменение	из ме не ни е
художник	ху дож ник
кровопролитие	кро во про ли ти е
Авдей	Авдей
червень	чер вень
разменять	раз ме нять
разменивать	раз ме ни вать
измена	из ме на
обмен	об мен
предатель	пре да тель
грабитель	гра би тель
радио	ра ди о
шрам	шрам
вкусный	вкус ный
разница	раз ни ца
пушка	пуш ка
чайник	чай ник
кавун	ка вун
арбуз	ар буз
как	как
эта	э та
простите	про сти те
сознание	со зна ни е
карате	ка ра те
якудза	я куд за
барсук	бар сук
реальность	ре аль ность
кино	ки но
сибарит	си ба рит
лексика	лек си ка
меломан	ме ло ман
вымысел	вы мы сел
нажим	на жим
многие	мно ги е
философия	фи ло со фи я
эстетика	эс те ти ка
водитель	во ди тель
изобретатель	и зо бре та тель
профессия	про фес си я
возле	воз ле
портмоне	порт мо не
творец	тво рец
творчество	твор че ство
далеко	да ле ко
работник	ра бот ник
труженик	тру же ник
фикус	фи кус
складной	склад ной
слабак	сла бак
сосна	 сосна
валет	ва лет
интерфейс	ин тер фейс
понеже	по не же
умножение	у мно же ни е
вересень	ве ре сень
ай	ай
увеличение	у ве ли че ни е
пружина	пру жи на
штраф	штраф
покемон	по ке мон
племя	пле мя
полено	по ле но
рельс	рельс
